timestamp,p0_x,p0_y,p0_z,p1_x,p1_y,p1_z,p2_x,p2_y,p2_z,p3_x,p3_y,p3_z,p4_x,p4_y,p4_z,p5_x,p5_y,p5_z,p6_x,p6_y,p6_z,p7_x,p7_y,p7_z,p8_x,p8_y,p8_z,p9_x,p9_y,p9_z,p10_x,p10_y,p10_z,p11_x,p11_y,p11_z,p12_x,p12_y,p12_z,p13_x,p13_y,p13_z,p14_x,p14_y,p14_z,p15_x,p15_y,p15_z,p16_x,p16_y,p16_z,p17_x,p17_y,p17_z,p18_x,p18_y,p18_z,p19_x,p19_y,p19_z,p20_x,p20_y,p20_z,o0_x,o0_y,o0_z,o0_w,o1_x,o1_y,o1_z,o1_w,o2_x,o2_y,o2_z,o2_w,o3_x,o3_y,o3_z,o3_w,o4_x,o4_y,o4_z,o4_w,o5_x,o5_y,o5_z,o5_w,o6_x,o6_y,o6_z,o6_w,o7_x,o7_y,o7_z,o7_w,o8_x,o8_y,o8_z,o8_w,o9_x,o9_y,o9_z,o9_w,o10_x,o10_y,o10_z,o10_w,o11_x,o11_y,o11_z,o11_w,o12_x,o12_y,o12_z,o12_w,o13_x,o13_y,o13_z,o13_w,o14_x,o14_y,o14_z,o14_w,o15_x,o15_y,o15_z,o15_w,o16_x,o16_y,o16_z,o16_w,o17_x,o17_y,o17_z,o17_w,o18_x,o18_y,o18_z,o18_w,o19_x,o19_y,o19_z,o19_w,o20_x,o20_y,o20_z,o20_w
1750811981.1658401,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,0.0,0.0,0.02477,0.0,0.0,0.01968,-0.01128,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,-0.57574,0.22352,0.44066,0.6514,0.19088,0.40183,0.04721,0.89435,0.0,-0.10503,-0.0,0.99447,0.0,-0.04421,-0.0,0.99902,0.0,0.0,0.0,1.0,-0.11792,0.11935,-0.05265,0.98442,0.06753,0.00884,-0.04329,0.99674,0.04234,0.00934,-0.04335,0.99812,-0.0,-0.0,-0.0,1.0,-0.08791,-0.06613,0.02815,0.99353,0.10641,-0.01076,0.03338,0.9937,0.06718,-0.01139,0.03349,0.99711,0.0,0.0,-0.0,1.0,0.01772,-0.07155,0.01515,0.99716,0.06928,-0.00413,0.01982,0.99739,0.04397,-0.00438,0.01985,0.99883,-0.0,-0.0,-0.0,1.0,0.0739,-0.09443,0.05591,0.99121,-0.0,0.0,0.061,0.99814,-0.0,-0.0,0.061,0.99814,0.0,-0.0,0.0,1.0
1750811981.177886,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,0.0,0.0,0.02477,0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,-0.57581,0.22331,0.44071,0.6514,0.19066,0.4015,0.04721,0.89455,-0.0,-0.10451,0.0,0.99452,0.0,-0.04331,-0.0,0.99906,0.0,0.0,-0.0,1.0,-0.11768,0.11927,-0.05265,0.98446,0.06767,0.00888,-0.04338,0.99672,0.04243,0.00938,-0.04344,0.99811,0.0,0.0,0.0,1.0,-0.08822,-0.06608,0.02792,0.99351,0.1078,-0.01084,0.0332,0.99356,0.06807,-0.01148,0.03332,0.99706,0.0,0.0,0.0,1.0,0.01718,-0.07209,0.01603,0.99712,0.07035,-0.00441,0.02082,0.9973,0.04464,-0.00468,0.02085,0.99877,0.0,-0.0,0.0,1.0,0.07674,-0.09475,0.05572,0.99097,0.0,0.0,0.06101,0.99814,-0.0,0.0,0.06101,0.99814,-0.0,-0.0,0.0,1.0
1750811981.1797287,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,0.0,0.0,0.02477,0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,-0.57582,0.2232,0.44103,0.6512,0.19062,0.40134,0.04719,0.89463,-0.0,-0.10442,0.0,0.99453,0.0,-0.04317,0.0,0.99907,-0.0,0.0,-0.0,1.0,-0.11757,0.11931,-0.05263,0.98447,0.0674,0.00883,-0.04331,0.99675,0.04226,0.00932,-0.04337,0.99812,0.0,0.0,0.0,1.0,-0.0879,-0.06703,0.02795,0.99348,0.10733,-0.01081,0.03327,0.99361,0.06776,-0.01145,0.03338,0.99708,0.0,-0.0,-0.0,1.0,0.01703,-0.07234,0.01597,0.99711,0.07065,-0.00442,0.0208,0.99727,0.04482,-0.00469,0.02083,0.99877,-0.0,0.0,0.0,1.0,0.07669,-0.09481,0.05568,0.99097,-0.0,-0.0,0.06096,0.99814,-0.0,0.0,0.06096,0.99814,-0.0,0.0,0.0,1.0
1750811981.2123294,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,-0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,0.0,0.0,0.02477,0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,-0.57585,0.22307,0.44101,0.65125,0.19064,0.40125,0.04717,0.89467,0.0,-0.10444,-0.0,0.99453,-0.0,-0.0432,0.0,0.99907,0.0,-0.0,0.0,1.0,-0.11749,0.11928,-0.0526,0.98448,0.06745,0.00884,-0.04332,0.99674,0.04229,0.00933,-0.04338,0.99812,0.0,0.0,0.0,1.0,-0.08785,-0.06699,0.02792,0.99349,0.10787,-0.01086,0.03326,0.99355,0.06811,-0.0115,0.03337,0.99705,0.0,-0.0,-0.0,1.0,0.01748,-0.07284,0.01592,0.99706,0.0703,-0.0044,0.02079,0.9973,0.0446,-0.00467,0.02082,0.99878,0.0,-0.0,0.0,1.0,0.07668,-0.0949,0.05562,0.99097,0.0,0.0,0.06091,0.99814,-0.0,-0.0,0.06091,0.99814,0.0,-0.0,0.0,1.0
1750811981.2566416,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,-0.0,-0.0,0.02477,-0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,-0.57599,0.22241,0.44096,0.65144,0.19082,0.40121,0.0472,0.89465,0.0,-0.10452,0.0,0.99452,-0.0,-0.04333,0.0,0.99906,-0.0,0.0,-0.0,1.0,-0.11737,0.11927,-0.05258,0.9845,0.06748,0.00885,-0.04334,0.99674,0.04231,0.00934,-0.0434,0.99812,0.0,0.0,0.0,1.0,-0.0881,-0.06617,0.02791,0.99352,0.10889,-0.01096,0.03323,0.99344,0.06875,-0.0116,0.03335,0.99701,0.0,-0.0,0.0,1.0,0.01759,-0.07355,0.01578,0.99701,0.07095,-0.00444,0.02077,0.99725,0.04501,-0.0047,0.0208,0.99876,-0.0,0.0,0.0,1.0,0.07707,-0.09493,0.05562,0.99094,0.0,-0.0,0.06093,0.99814,-0.0,0.0,0.06093,0.99814,-0.0,0.0,0.0,1.0
1750811981.2726722,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,-0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,-0.0,-0.0,0.02477,-0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,-0.57603,0.22239,0.44089,0.65144,0.19085,0.40115,0.04715,0.89467,0.0,-0.10447,0.0,0.99453,-0.0,-0.04324,-0.0,0.99906,0.0,-0.0,0.0,1.0,-0.11708,0.1185,-0.05261,0.98462,0.06863,0.00908,-0.04373,0.99664,0.04302,0.00959,-0.04379,0.99807,-0.0,0.0,-0.0,1.0,-0.08828,-0.06406,0.02796,0.99364,0.11006,-0.01106,0.03319,0.99331,0.0695,-0.01171,0.03331,0.99696,0.0,-0.0,0.0,1.0,0.01737,-0.07362,0.01667,0.997,0.07193,-0.00471,0.02173,0.99716,0.04562,-0.00499,0.02176,0.99871,0.0,0.0,-0.0,1.0,0.07803,-0.09477,0.05578,0.99087,0.0,-0.0,0.06114,0.99813,0.0,0.0,0.06114,0.99813,-0.0,-0.0,0.0,1.0
1750811981.3107598,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,-0.0,-0.0,0.02477,-0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,-0.57633,0.22213,0.44043,0.65157,0.19066,0.40105,0.04703,0.89476,0.0,-0.10425,0.0,0.99455,-0.0,-0.04285,0.0,0.99908,-0.0,0.0,-0.0,1.0,-0.11786,0.11837,-0.05238,0.98456,0.07137,0.0095,-0.04399,0.99643,0.04473,0.01003,-0.04406,0.99798,0.0,0.0,0.0,1.0,-0.08756,-0.06247,0.02771,0.99381,0.11002,-0.01093,0.03281,0.99333,0.06948,-0.01158,0.03293,0.99697,-0.0,-0.0,0.0,1.0,0.01698,-0.07458,0.01699,0.99693,0.07361,-0.00494,0.02226,0.99703,0.04668,-0.00523,0.02229,0.99865,-0.0,-0.0,0.0,1.0,0.07797,-0.09492,0.05575,0.99086,-0.0,0.0,0.06111,0.99813,0.0,-0.0,0.06111,0.99813,-0.0,0.0,0.0,1.0
1750811981.3376153,0.0,0.0,0.0,0.02495,-0.0,0.02532,-0.0,0.0,0.03274,0.0,0.0,0.02874,0.0,-0.0,0.02874,0.01118,-0.0,0.0529,0.0,0.0,0.03826,0.0,0.0,0.02088,-0.0,0.0,0.01876,-0.0,-0.0,0.05129,0.0,0.0,0.04186,0.0,0.0,0.02477,0.0,0.0,0.01968,-0.01127,-0.0,0.0498,0.0,0.0,0.03974,0.0,0.0,0.02356,0.0,0.0,0.01987,-0.02015,-0.0,0.04731,0.0,0.0,0.03317,0.0,0.0,0.01802,0.0,-0.0,0.01913,-0.57636,0.22205,0.44025,0.65167,0.19061,0.40097,0.04699,0.89481,-0.0,-0.10426,0.0,0.99455,-0.0,-0.04288,-0.0,0.99908,0.0,-0.0,0.0,1.0,-0.11786,0.11842,-0.0522,0.98456,0.07132,0.00945,-0.04379,0.99645,0.04471,0.00998,-0.04386,0.99799,-0.0,-0.0,0.0,1.0,-0.0873,-0.06167,0.02792,0.99388,0.11012,-0.01099,0.03296,0.99331,0.06954,-0.01164,0.03308,0.99696,0.0,-0.0,-0.0,1.0,0.01653,-0.07451,0.01704,0.99694,0.07453,-0.00502,0.02235,0.99696,0.04726,-0.00532,0.02239,0.99862,-0.0,-0.0,0.0,1.0,0.0783,-0.09511,0.05572,0.99082,-0.0,0.0,0.06111,0.99813,-0.0,0.0,0.06111,0.99813,0.0,0.0,-0.0,1.0
1750811981.3723416,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,1e-05,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,-0.0,-0.0,0.02477,-0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,-0.57638,0.2222,0.44037,0.65158,0.19074,0.40085,0.04697,0.89484,-0.0,-0.1043,0.0,0.99455,-0.0,-0.04294,0.0,0.99908,-0.0,-0.0,0.0,1.0,-0.11741,0.11841,-0.05206,0.98462,0.07086,0.00936,-0.04364,0.99649,0.04442,0.00988,-0.04371,0.99801,-0.0,0.0,0.0,1.0,-0.08719,-0.06123,0.02811,0.99391,0.11006,-0.01104,0.03312,0.99331,0.0695,-0.01169,0.03324,0.99696,0.0,-0.0,-0.0,1.0,0.01613,-0.07523,0.01708,0.99689,0.07532,-0.00511,0.02251,0.99689,0.04776,-0.00542,0.02255,0.99859,-0.0,0.0,-0.0,1.0,0.07863,-0.09519,0.05584,0.99078,0.0,-0.0,0.06126,0.99812,-0.0,0.0,0.06126,0.99812,0.0,0.0,0.0,1.0
1750811981.4047341,0.0,0.0,0.0,0.02495,0.0,0.02532,0.0,-0.0,0.03274,-0.0,-0.0,0.02874,-0.0,0.0,0.02874,0.01118,0.0,0.0529,-0.0,-0.0,0.03826,-0.0,-0.0,0.02088,0.0,-0.0,0.01876,0.0,0.0,0.05129,-0.0,-0.0,0.04186,-0.0,-0.0,0.02477,-0.0,-0.0,0.01968,-0.01127,0.0,0.0498,-0.0,-0.0,0.03974,-0.0,-0.0,0.02356,-0.0,-0.0,0.01987,-0.02014,0.0,0.04731,-0.0,-0.0,0.03318,-0.0,-0.0,0.01802,-0.0,0.0,0.01913,-0.5763,0.2222,0.44043,0.65158,0.19083,0.40121,0.04629,0.89469,-0.0,-0.10484,0.0,0.99449,-0.0,-0.04383,0.0,0.99904,-0.0,-0.0,-0.0,1.0,-0.11653,0.11819,-0.05201,0.98476,0.07095,0.00941,-0.04382,0.99647,0.04447,0.00993,-0.04389,0.998,0.0,-0.0,0.0,1.0,-0.08751,-0.06059,0.02812,0.99392,0.1104,-0.01107,0.03311,0.99327,0.06971,-0.01172,0.03323,0.99694,-0.0,0.0,0.0,1.0,0.01573,-0.07522,0.01712,0.9969,0.07596,-0.00517,0.02259,0.99684,0.04817,-0.00548,0.02263,0.99857,-0.0,-0.0,-0.0,1.0,0.07855,-0.09505,0.05575,0.9908,-0.0,0.0,0.06115,0.99813,0.0,0.0,0.06115,0.99813,0.0,-0.0,0.0,1.0
